TimeOfDay	Time	Air Flow	Lung Volume	Comp Ch 2
09:09:18.206	0	0.0465088	2.62997e-05	0.00563541
09:09:18.211	0.005	0.0465103	5.26136e-05	0.00563541
09:09:18.216	0.01	0.0465234	7.90485e-05	0.00563541
09:09:18.221	0.015	0.0465673	0.000105891	0.00563541
09:09:18.226	0.02	0.0466639	0.000133629	0.00594574
09:09:18.231	0.025	0.0468339	0.000162945	0.00632205
09:09:18.236	0.03	0.0470831	0.000194572	0.0066404
09:09:18.241	0.035	0.0473428	0.00022861	0.00672288
09:09:18.246	0.04	0.0474645	0.000263776	0.00641634
09:09:18.251	0.045	0.0473176	0.000297579	0.00563268
09:09:18.256	0.05	0.0468777	0.000327302	0.00460676
09:09:18.261	0.055	0.0462081	0.000350812	0.00364639
09:09:18.266	0.06	0.0453997	0.000365322	0.00313404
09:09:18.271	0.065	0.0445548	0.000379828	0.0029969
09:09:18.276	0.07	0.0437771	0.000394631	0.00310465
09:09:18.281	0.075	0.0431611	0.000410008	0.00325391
09:09:18.286	0.08	0.0427701	0.000426182	0.00343036
09:09:18.291	0.085	0.0426126	0.000443299	0.00361735
09:09:18.296	0.09	0.0426485	0.000461412	0.00379942
09:09:18.301	0.095	0.0428266	0.000480477	0.00396681
09:09:18.306	0.1	0.0431212	0.000500381	0.00411863
09:09:18.311	0.105	0.0435455	0.000521008	0.00426224
09:09:18.316	0.11	0.0441234	0.000542305	0.00440922
09:09:18.321	0.115	0.0448449	0.000564296	0.0045705
09:09:18.326	0.12	0.0456584	0.000587067	0.00475304
09:09:18.331	0.125	0.046498	0.000610747	0.00495824
09:09:18.336	0.13	0.0473134	0.000635468	0.00518203
09:09:18.341	0.135	0.048069	0.00066134	0.00541615
09:09:18.346	0.14	0.0487149	0.000688422	0.00565046
09:09:18.351	0.145	0.0492047	0.000716711	0.00587573
09:09:18.356	0.15	0.0495193	0.000746148	0.00608554
09:09:18.361	0.155	0.0496496	0.000776642	0.00627638
09:09:18.366	0.16	0.0496035	0.000808091	0.00644604
09:09:18.371	0.165	0.049413	0.000840398	0.00659174
09:09:18.376	0.17	0.0491223	0.000873449	0.00670972
09:09:18.381	0.175	0.0487479	0.000907106	0.00679648
09:09:18.386	0.18	0.0483121	0.000941204	0.00685067
09:09:18.391	0.185	0.0478479	0.000975565	0.00687418
09:09:18.396	0.19	0.0473613	0.00101003	0.00687222
09:09:18.401	0.195	0.0468784	0.00104445	0.00685301
09:09:18.406	0.2	0.0464222	0.00107874	0.00682741
09:09:18.411	0.205	0.0460218	0.00111286	0.0068083
09:09:18.416	0.21	0.0457069	0.00114683	0.00680957
09:09:18.421	0.215	0.0454946	0.00118076	0.00684476
09:09:18.426	0.22	0.0454039	0.00121483	0.00692576
09:09:18.431	0.225	0.0454291	0.00124927	0.00706187
09:09:18.436	0.23	0.0455524	0.00128437	0.00725948
09:09:18.441	0.235	0.045757	0.00132044	0.00752223
09:09:18.446	0.24	0.0460314	0.00135783	0.0078513
09:09:18.451	0.245	0.0463679	0.00139687	0.00824551
09:09:18.456	0.25	0.0467652	0.00143788	0.0087014
09:09:18.461	0.255	0.0472146	0.0014812	0.00921305
09:09:18.466	0.26	0.0477104	0.0015271	0.00977192
09:09:18.471	0.265	0.0482473	0.00157584	0.0103667
09:09:18.476	0.27	0.0488168	0.00162759	0.0109834
09:09:18.481	0.275	0.0494093	0.00168249	0.0116065
09:09:18.486	0.28	0.0500107	0.00174056	0.0122198
09:09:18.491	0.285	0.0506093	0.00180174	0.0128079
09:09:18.496	0.29	0.0511938	0.00186592	0.0133575
09:09:18.501	0.295	0.051752	0.00193287	0.0138576
09:09:18.506	0.3	0.0522759	0.00200236	0.0142998
09:09:18.511	0.305	0.0527582	0.00207407	0.0146776
09:09:18.516	0.31	0.0531881	0.00214769	0.0149863
09:09:18.521	0.315	0.0535537	0.00222287	0.0152229
09:09:18.526	0.32	0.0538456	0.00229923	0.0153852
09:09:18.531	0.325	0.0540524	0.00237641	0.0154721
09:09:18.536	0.33	0.054161	0.00245402	0.0154828
09:09:18.541	0.335	0.054159	0.00253169	0.0154165
09:09:18.546	0.34	0.0540395	0.00260904	0.0152729
09:09:18.551	0.345	0.0538055	0.00268566	0.0150513
09:09:18.556	0.35	0.05347	0.00276118	0.0147514
09:09:18.561	0.355	0.0530494	0.0028352	0.0143728
09:09:18.566	0.36	0.0525653	0.00290732	0.0139159
09:09:18.571	0.365	0.0520408	0.00297716	0.0133818
09:09:18.576	0.37	0.051495	0.00304432	0.0127729
09:09:18.581	0.375	0.0509483	0.00310843	0.0120931
09:09:18.586	0.38	0.0504159	0.00316911	0.0113475
09:09:18.591	0.385	0.0499059	0.00322605	0.0105429
09:09:18.596	0.39	0.0494229	0.00327894	0.00968805
09:09:18.601	0.395	0.0489647	0.00332751	0.00879324
09:09:18.606	0.4	0.0485222	0.00337157	0.00787023
09:09:18.611	0.405	0.0480819	0.00341098	0.00693183
09:09:18.616	0.41	0.0476317	0.00344564	0.00599087
09:09:18.621	0.415	0.0471591	0.00347556	0.00505971
09:09:18.626	0.42	0.046654	0.00350079	0.00414921
09:09:18.631	0.425	0.0461153	0.00352143	0.00326826
09:09:18.636	0.43	0.0455469	0.00353765	0.00242326
09:09:18.641	0.435	0.0449563	0.00354963	0.00161822
09:09:18.646	0.44	0.0443528	0.00355758	0.000860997
09:09:18.651	0.445	0.0437437	0.00356171	0.000158428
09:09:18.656	0.45	0.0431398	0.00356224	-0.000484246
09:09:18.661	0.455	0.0425536	0.00355965	-0.00107502
09:09:18.666	0.46	0.0419974	0.00355416	-0.00162356
09:09:18.671	0.465	0.041489	0.00354593	-0.00213844
09:09:18.676	0.47	0.0410443	0.00353513	-0.00262041
09:09:18.681	0.475	0.040678	0.00352192	-0.00306767
09:09:18.686	0.48	0.0404017	0.00350646	-0.00347702
09:09:18.691	0.485	0.0402155	0.00348893	-0.00384435
09:09:18.696	0.49	0.0401109	0.00346955	-0.00416519
09:09:18.701	0.495	0.0400729	0.00344856	-0.00443537
09:09:18.706	0.5	0.0400841	0.0034262	-0.00465152
09:09:18.711	0.505	0.0401288	0.00340275	-0.00481138
09:09:18.716	0.51	0.040193	0.0033785	-0.00491418
09:09:18.721	0.515	0.0402644	0.00335374	-0.00496089
09:09:18.726	0.52	0.0403284	0.00332876	-0.00495443
09:09:18.731	0.525	0.0403758	0.00330382	-0.00489969
09:09:18.736	0.53	0.0404073	0.00327918	-0.0048032
09:09:18.741	0.535	0.0404314	0.00325505	-0.00467296
09:09:18.746	0.54	0.0404607	0.0032316	-0.00451735
09:09:18.751	0.545	0.0405107	0.00320896	-0.00434464
09:09:18.756	0.55	0.0405954	0.00318721	-0.00416194
09:09:18.761	0.555	0.0407233	0.00316638	-0.00397505
09:09:18.766	0.56	0.0408959	0.00314651	-0.0037879
09:09:18.771	0.565	0.0411087	0.00312758	-0.00360285
09:09:18.776	0.57	0.0413532	0.00310958	-0.00342073
09:09:18.781	0.575	0.0416178	0.00309249	-0.00324113
