TimeOfDay	Time	Air Flow	Lung Volume	Comp Ch 2
09:54:50.679	0	0.0439252	-1.02685e-05	-0.000780708
09:54:50.689	0.01	0.0439284	-2.04836e-05	-0.000780708
09:54:50.699	0.02	0.0439578	-3.02049e-05	-0.000780708
09:54:50.709	0.03	0.0440252	-3.87931e-05	-0.000780708
09:54:50.719	0.04	0.0441055	-4.60322e-05	-0.000767789
09:54:50.729	0.05	0.0441613	-5.23335e-05	-0.000820897
09:54:50.739	0.06	0.044176	-6.13796e-05	-0.000861362
09:54:50.749	0.07	0.0441492	-7.0418e-05	-0.000866865
09:54:50.759	0.08	0.0440767	-7.92418e-05	-0.000822521
09:54:50.769	0.09	0.0439639	-8.76079e-05	-0.00075882
09:54:50.779	0.1	0.0438587	-9.52993e-05	-0.000680232
09:54:50.789	0.11	0.0438102	-0.000102159	-0.00059239
09:54:50.799	0.12	0.0438354	-0.000108103	-0.00049994
09:54:50.809	0.13	0.0439311	-0.000113108	-0.000404956
09:54:50.819	0.14	0.0440945	-0.000117171	-0.000307155
09:54:50.829	0.15	0.0443119	-0.000120278	0.00116491
09:54:50.839	0.16	0.0445474	-0.000122367	0.00263902
09:54:50.849	0.17	0.0447489	-0.00012338	0.00410896
09:54:50.859	0.18	0.0448701	3.32475e-08	0.00282193
09:54:50.869	0.19	0.0449031	1.04325e-06	0.00150364
09:54:50.879	0.2	0.0448774	2.70409e-06	0.000137676
09:54:50.889	0.21	0.0448167	4.51215e-06	8.38679e-05
09:54:50.899	0.22	0.0447513	5.80783e-06	-3.03702e-05
09:54:50.909	0.23	0.0446915	5.85145e-06	-0.00019531
09:54:50.919	0.24	0.0446175	4.14833e-06	-0.000393982
09:54:50.929	0.25	0.0445191	2.90976e-07	-0.000603536
09:54:50.939	0.26	0.0443867	-5.84582e-06	-0.000801712
09:54:50.949	0.27	0.0441975	-1.40959e-05	-0.0009713
09:54:50.959	0.28	0.0439532	-2.40857e-05	-0.00110478
09:54:50.969	0.29	0.0436709	-3.53789e-05	-0.00120325
09:54:50.979	0.3	0.0434004	-4.76032e-05	-0.00127183
09:54:50.989	0.31	0.0432031	-6.04753e-05	-0.00131446
09:54:50.999	0.32	0.0431392	-7.37749e-05	-0.00133066
09:54:51.009	0.33	0.0432422	-8.72826e-05	-0.00131499
09:54:51.019	0.34	0.0434705	-0.000100702	-0.00125933
09:54:51.029	0.35	0.0437428	-0.000113629	-0.00115693
09:54:51.039	0.36	0.0439711	-0.000125552	-0.00100754
09:54:51.049	0.37	0.0441162	-0.000135918	-0.000821191
09:54:51.059	0.38	0.0441884	-0.000144267	-0.000618367
09:54:51.069	0.39	0.0442257	-0.000150377	-0.000425522
09:54:51.079	0.4	0.0442661	-0.000154362	-0.000267028
09:54:51.089	0.41	0.0443335	-0.000156651	-0.000157652
09:54:51.099	0.42	0.0444485	-0.000157845	-9.903e-05
09:54:51.109	0.43	0.0446048	-0.000158542	-8.16828e-05
09:54:51.119	0.44	0.0447637	-0.000159191	-9.07179e-05
09:54:51.129	0.45	0.0448722	-0.000160038	-0.000111851
09:54:51.139	0.46	0.0448857	-0.000161161	-0.000135718
09:54:51.149	0.47	0.0447839	-0.000162544	-0.000159436
09:54:51.159	0.48	0.0445894	-0.000164133	-0.000186426
09:54:51.169	0.49	0.0443559	-0.000165928	-0.000223971
09:54:51.179	0.5	0.044154	-0.000168032	-0.000279095
09:54:51.189	0.51	0.0440344	-0.000170657	-0.00035374
09:54:51.199	0.52	0.0440122	-0.000174074	-0.000442178
09:54:51.209	0.53	0.0440652	-0.00017848	-0.000532977
09:54:51.219	0.54	0.044174	-0.000183899	-0.000614858
09:54:51.229	0.55	0.0442889	-0.000190179	-0.000682903
09:54:51.239	0.56	0.0443661	-0.000197101	-0.000741455
09:54:51.249	0.57	0.0443603	-0.00020451	-0.000801886
09:54:51.259	0.58	0.0442593	-0.000212408	-0.000876833
09:54:51.269	0.59	0.0441198	-0.000220992	-0.000973514
09:54:51.279	0.6	0.0440013	-0.00023056	-0.00108999
09:54:51.289	0.61	0.0439221	-0.000241383	-0.00121542
09:54:51.299	0.62	0.0438594	-0.000253583	-0.00133335
09:54:51.309	0.63	0.0437776	-0.000267093	-0.00142595
09:54:51.319	0.64	0.0436551	-0.000281647	-0.00147805
09:54:51.329	0.65	0.0434825	-0.000296788	-0.00148044
09:54:51.339	0.66	0.0433031	-0.000311959	-0.00143093
09:54:51.349	0.67	0.0432027	-0.000326599	-0.00133266
09:54:51.359	0.68	0.0432235	-0.000340209	-0.00119106
09:54:51.369	0.69	0.0433531	-0.00035237	-0.00101131
09:54:51.379	0.7	0.0435521	-0.000362707	-0.000797832
09:54:51.389	0.71	0.0438047	-0.000370885	-0.000555438
09:54:51.399	0.72	0.0440968	-0.000376603	0.00393095
09:54:51.409	0.73	0.0444126	-0.000379602	0.00843321
09:54:51.419	0.74	0.0447192	-0.000379747	0.0129384
09:54:51.429	0.75	0.0449801	2.93878e-06	0.00898569
09:54:51.439	0.76	0.0451888	8.70622e-06	0.00499134
09:54:51.449	0.77	0.045326	1.68553e-05	0.000933692
09:54:51.459	0.78	0.0453866	2.674e-05	0.00101758
09:54:51.469	0.79	0.0454062	3.75239e-05	0.00101691
09:54:51.479	0.8	0.0454122	4.82687e-05	0.000935074
09:54:51.489	0.81	0.0453923	5.80912e-05	0.00078465
09:54:51.499	0.82	0.0453331	6.62813e-05	0.000584037
09:54:51.509	0.83	0.0452191	7.23167e-05	0.00035524
09:54:51.519	0.84	0.0450195	7.59042e-05	0.000119076
09:54:51.529	0.85	0.0447261	7.69836e-05	-0.000109682
09:54:51.539	0.86	0.0443853	7.57731e-05	-0.000326389
09:54:51.549	0.87	0.0440736	7.24625e-05	-0.000532695
09:54:51.559	0.88	0.0438375	6.70977e-05	-0.000729239
09:54:51.569	0.89	0.0436806	5.97257e-05	-0.000910496
09:54:51.579	0.9	0.0436125	5.04531e-05	-0.0010646
09:54:51.589	0.91	0.0436311	3.95229e-05	-0.0011772
09:54:51.599	0.92	0.0437139	2.73653e-05	-0.00123599
09:54:51.609	0.93	0.0437871	1.45748e-05	-0.0012345
09:54:51.619	0.94	0.0438027	1.81327e-06	-0.00117382
09:54:51.629	0.95	0.0437799	-1.02858e-05	-0.00106162
09:54:51.639	0.96	0.0437483	-2.11697e-05	-0.00090993
09:54:51.649	0.97	0.0437368	-3.04346e-05	-0.000731025
09:54:51.659	0.98	0.0437765	-3.78391e-05	-0.000533334
09:54:51.669	0.99	0.0438955	-4.32622e-05	0.000211547
09:54:51.679	1	0.0440961	-4.65811e-05	0.000980252
09:54:51.689	1.01	0.0443501	-4.76002e-05	0.00177901
09:54:51.699	1.02	0.0446209	1.68464e-06	0.00154929
09:54:51.709	1.03	0.0448652	6.45591e-06	0.00133885
09:54:51.719	1.04	0.0450706	1.45267e-05	0.00112953
09:54:51.729	1.05	0.0452472	2.59568e-05	0.00142663
09:54:51.739	1.06	0.0454154	4.05534e-05	0.00167581
09:54:51.749	1.07	0.0455823	5.78147e-05	0.00185482
09:54:51.759	1.08	0.0457478	7.69679e-05	0.00195018
09:54:51.769	1.09	0.0459088	9.70772e-05	0.00195954
09:54:51.779	1.1	0.0460463	0.000117214	0.00188947
09:54:51.789	1.11	0.0461279	0.000136561	0.00175082
09:54:51.799	1.12	0.0461117	0.000154444	0.00155419
09:54:51.809	1.13	0.0459611	0.000170307	0.00130778
09:54:51.819	1.14	0.0456742	0.000183676	0.00101824
09:54:51.829	1.15	0.0452901	0.000194114	0.000693604
09:54:51.839	1.16	0.0448842	0.000201223	0.000349728
09:54:51.849	1.17	0.0445182	0.000204731	7.61356e-06
09:54:51.859	1.18	0.0442223	0.000204566	-0.000307269
09:54:51.869	1.19	0.0440016	0.00020119	-0.000574216
09:54:51.879	1.2	0.0438369	0.000194997	-0.000774455
09:54:51.889	1.21	0.0436964	0.000186679	-0.000897686
