TimeOfDay	Time	Air Flow	Lung Volume	Comp Ch 2
09:44:49.626	0	0.0460784	3.75321e-05	0.00298105
09:44:49.636	0.01	0.0460728	7.49601e-05	0.00298105
09:44:49.646	0.02	0.0460496	0.000111957	0.00298105
09:44:49.656	0.03	0.0459622	0.000147329	0.00298105
09:44:49.666	0.04	0.0457589	0.000178925	0.00239703
09:44:49.676	0.05	0.0454297	0.000204407	0.00174159
09:44:49.686	0.06	0.045	0.000219209	0.00119564
09:44:49.696	0.07	0.0445268	0.000230328	0.000763035
09:44:49.706	0.08	0.044087	0.000237867	0.000425454
09:44:49.716	0.09	0.0437418	0.000241954	0.000117341
09:44:49.726	0.1	0.0435249	0.000242796	-0.000146514
09:44:49.736	0.11	0.0434361	0.000240945	-0.000353959
09:44:49.746	0.12	0.0434445	0.000236968	-0.000495841
09:44:49.756	0.13	0.0434996	0.000231517	-0.000568754
09:44:49.766	0.14	0.0435677	0.000225352	-0.000576312
09:44:49.776	0.15	0.0436333	0.000219214	-0.000531062
09:44:49.786	0.16	0.0436906	0.000213676	-0.000452297
09:44:49.796	0.17	0.0437369	0.00020908	-0.000360987
09:44:49.806	0.18	0.0437854	0.000205531	-0.00027505
09:44:49.816	0.19	0.0438585	0.000202924	-0.000205872
09:44:49.826	0.2	0.0439749	0.000201026	-0.000157176
09:44:49.836	0.21	0.0441068	0.000199583	-0.000126325
09:44:49.846	0.22	0.0442074	0.000198398	-0.000107261
09:44:49.856	0.23	0.0442531	0.000197354	-9.36354e-05
09:44:49.866	0.24	0.0442466	0.000196412	-8.16757e-05
09:44:49.876	0.25	0.0441734	0.000195588	-7.19421e-05
09:44:49.886	0.26	0.0440477	0.000194908	-6.89399e-05
09:44:49.896	0.27	0.0439207	0.000194317	-7.77596e-05
09:44:49.906	0.28	0.0438327	0.000193654	-0.000100023
09:44:49.916	0.29	0.0437991	0.000192733	-0.000131619
09:44:49.926	0.3	0.0438162	0.000191428	-0.00016362
09:44:49.936	0.31	0.043877	0.000189716	-0.000185345
09:44:49.946	0.32	0.0439699	0.000187714	-0.000188461
09:44:49.956	0.33	0.044043	0.000185659	-0.000170512
09:44:49.966	0.34	0.0440519	0.000183823	-0.000135973
09:44:49.976	0.35	0.0440075	0.000182415	-9.43773e-05
09:44:49.986	0.36	0.0439559	0.000181505	-5.6735e-05
09:44:49.996	0.37	0.0439318	0.000181038	-3.21293e-05
09:44:50.006	0.38	0.0439487	0.000180859	-2.48702e-05
09:44:50.016	0.39	0.0440067	0.000180739	-3.26196e-05
09:44:50.026	0.4	0.0440905	0.000180468	-4.69969e-05
09:44:50.036	0.41	0.0441633	0.000179956	-5.74542e-05
09:44:50.046	0.42	0.0441855	0.000179276	-5.68417e-05
09:44:50.056	0.43	0.0441587	0.000178604	-4.53244e-05
09:44:50.066	0.44	0.0440991	0.000178113	-3.02272e-05
09:44:50.076	0.45	0.0440168	0.000177868	-2.189e-05
09:44:50.086	0.46	0.0439255	0.000177777	-2.7454e-05
09:44:50.096	0.47	0.0438654	0.000177628	-4.63928e-05
09:44:50.106	0.48	0.0438776	0.00017721	-7.05141e-05
09:44:50.116	0.49	0.0439621	0.000176449	-8.84446e-05
09:44:50.126	0.5	0.0440713	0.000175438	-9.1073e-05
09:44:50.136	0.51	0.04414	0.000174382	-0.00199721
09:44:50.146	0.52	0.0441251	0.000173507	-0.00388633
09:44:50.156	0.53	0.0440459	0.000173012	-0.00576514
09:44:50.166	0.54	0.0439557	8.80761e-10	-0.003798
09:44:50.176	0.55	0.0439189	5.43689e-07	-0.00183829
09:44:50.186	0.56	0.0439664	1.49331e-06	0.000111271
09:44:50.196	0.57	0.0440633	2.66307e-06	0.000133321
09:44:50.206	0.58	0.0441572	3.9544e-06	0.000160253
09:44:50.216	0.59	0.0442202	5.43481e-06	0.000199677
09:44:50.226	0.6	0.0442485	7.30972e-06	0.000250728
09:44:50.236	0.61	0.044257	9.78904e-06	0.000303505
09:44:50.246	0.62	0.0442469	1.29245e-05	0.000344256
09:44:50.256	0.63	0.0442254	1.6551e-05	0.000362263
09:44:50.266	0.64	0.0442251	2.03736e-05	0.000353301
09:44:50.276	0.65	0.0442574	2.40817e-05	0.000318896
09:44:50.286	0.66	0.044322	2.74128e-05	0.000263964
09:44:50.296	0.67	0.0443788	3.01517e-05	0.000195074
09:44:50.306	0.68	0.0443782	3.21425e-05	0.000119059
09:44:50.316	0.69	0.0443102	3.33307e-05	4.05069e-05
09:44:50.326	0.7	0.0442007	3.37296e-05	-4.07087e-05
09:44:50.336	0.71	0.0440769	3.3362e-05	-0.00012946
09:44:50.346	0.72	0.0439563	3.2179e-05	-0.000232044
09:44:50.356	0.73	0.043834	2.99981e-05	-0.000351177
09:44:50.366	0.74	0.0437333	2.65938e-05	-0.000483463
09:44:50.376	0.75	0.0436851	2.17946e-05	-0.000620135
09:44:50.386	0.76	0.0436728	1.55447e-05	-0.000750245
09:44:50.396	0.77	0.0436614	7.91988e-06	-0.000863439
09:44:50.406	0.78	0.0436265	-8.90187e-07	-0.000951833
09:44:50.416	0.79	0.0435498	-1.06187e-05	-0.0010113
09:44:50.426	0.8	0.0434319	-2.09415e-05	-0.00104269
09:44:50.436	0.81	0.0432989	-3.15304e-05	-0.00105184
09:44:50.446	0.82	0.0431875	-4.21337e-05	-0.00104744
09:44:50.456	0.83	0.0431368	-5.26281e-05	-0.00103709
09:44:50.466	0.84	0.0431597	-6.29948e-05	-0.00102418
09:44:50.476	0.85	0.0432458	-7.3252e-05	-0.00100673
09:44:50.486	0.86	0.0433741	-8.33838e-05	-0.000978984
09:44:50.496	0.87	0.0435274	-9.32968e-05	-0.000934483
09:44:50.506	0.88	0.043674	-0.0001028	-0.000869877
09:44:50.516	0.89	0.0437571	-0.000111642	-0.000787544
09:44:50.526	0.9	0.0437603	-0.000119594	-0.000695809
09:44:50.536	0.91	0.0437113	-0.000126534	-0.000606079
09:44:50.546	0.92	0.0436468	-0.000132491	-0.000528308
09:44:50.556	0.93	0.0436013	-0.000137635	-0.000466734
09:44:50.566	0.94	0.0436158	-0.000142192	-0.000418283
09:44:50.576	0.95	0.0436992	-0.00014634	-0.000374268
09:44:50.586	0.96	0.0438258	-0.000150134	-0.000324537
09:44:50.596	0.97	0.0439425	-0.000153489	-0.000262017
09:44:50.606	0.98	0.0440066	-0.000156227	-0.000185616
09:44:50.616	0.99	0.0440032	-0.000158157	0.00166992
09:44:50.626	1	0.0439814	-0.00015916	0.00352758
09:44:50.636	1.01	0.0439908	-0.000159238	0.0053797
09:44:50.646	1.02	0.0440307	8.1782e-07	0.00368137
09:44:50.656	1.03	0.0440997	2.35856e-06	0.00196947
09:44:50.666	1.04	0.0441892	4.44124e-06	0.000245468
09:44:50.676	1.05	0.0442718	6.94311e-06	0.000281137
09:44:50.686	1.06	0.0443188	9.80621e-06	0.000306852
09:44:50.696	1.07	0.0443311	1.29604e-05	0.000318621
09:44:50.706	1.08	0.0443324	1.62787e-05	0.000309707
09:44:50.716	1.09	0.0443318	1.95682e-05	0.000272784
09:44:50.726	1.1	0.0443218	2.25388e-05	0.000203612
09:44:50.736	1.11	0.0443	2.4812e-05	0.000105672
09:44:50.746	1.12	0.044256	2.6007e-05	-1.03795e-05
09:44:50.756	1.13	0.0441851	2.58917e-05	-0.000130356
09:44:50.766	1.14	0.0441057	2.45307e-05	-0.000243705
09:44:50.776	1.15	0.0440106	2.20012e-05	-0.000343692
09:44:50.786	1.16	0.0438765	1.84467e-05	-0.00042737
09:44:50.796	1.17	0.0437011	1.4048e-05	-0.000493279
09:44:50.806	1.18	0.0435171	8.99653e-06	-0.000541456
09:44:50.816	1.19	0.0433931	3.47077e-06	-0.00057171
09:44:50.826	1.2	0.043367	-2.36642e-06	-0.000581868
09:44:50.836	1.21	0.0434283	-8.34411e-06	-0.000566883
09:44:50.846	1.22	0.0435386	-1.42281e-05	-0.000520282
09:44:50.856	1.23	0.0436686	-1.96951e-05	-0.000437793
09:44:50.866	1.24	0.0437948	-2.43361e-05	-0.000321793
09:44:50.876	1.25	0.0438891	-2.77328e-05	0.000149724
09:44:50.886	1.26	0.0439441	-2.95997e-05	0.00062757
09:44:50.896	1.27	0.0439971	-2.98881e-05	0.00109299
09:44:50.906	1.28	0.0440831	1.19903e-06	0.000865352
09:44:50.916	1.29	0.044199	3.50172e-06	0.000601162
09:44:50.926	1.3	0.0443404	6.44778e-06	0.000302401
09:44:50.936	1.31	0.0444798	9.64339e-06	0.000310454
09:44:50.946	1.32	0.0445769	1.28261e-05	0.000303033
09:44:50.956	1.33	0.0445886	1.58951e-05	0.000285075
09:44:50.966	1.34	0.0444908	1.88125e-05	0.000255171
09:44:50.976	1.35	0.0443111	2.14827e-05	0.000208172
09:44:50.986	1.36	0.0441189	2.37262e-05	0.000140372
09:44:50.996	1.37	0.0439695	2.52903e-05	5.4207e-05
09:44:51.006	1.38	0.0438801	2.59093e-05	-4.04726e-05
09:44:51.016	1.39	0.0438645	2.54553e-05	-0.00012916
09:44:51.026	1.4	0.0438909	2.40132e-05	-0.000198586
09:44:51.036	1.41	0.0439102	2.18148e-05	-0.000241377
09:44:51.046	1.42	0.0439003	1.92025e-05	-0.000258455
09:44:51.056	1.43	0.0438649	1.64877e-05	-0.000257739
09:44:51.066	1.44	0.0438183	1.38691e-05	-0.000251434
09:44:51.076	1.45	0.0437923	1.14127e-05	-0.000252211
09:44:51.086	1.46	0.0438239	9.02673e-06	-0.000269142
09:44:51.096	1.47	0.0439055	6.49089e-06	-0.000304395
09:44:51.106	1.48	0.0439908	3.5529e-06	-0.000352322
09:44:51.116	1.49	0.0440396	4.18928e-08	-0.000402518
09:44:51.126	1.5	0.044044	-4.06009e-06	-0.000445489
09:44:51.136	1.51	0.0440056	-8.62024e-06	-0.00047781
09:44:51.146	1.52	0.043919	-1.34606e-05	-0.000503307
09:44:51.156	1.53	0.0437749	-1.84785e-05	-0.000530316
09:44:51.166	1.54	0.043599	-2.37023e-05	-0.000567363
09:44:51.176	1.55	0.0434569	-2.92578e-05	-0.000619795
09:44:51.186	1.56	0.0434076	-3.53277e-05	-0.000687576
09:44:51.196	1.57	0.0434637	-4.21186e-05	-0.000764104
09:44:51.206	1.58	0.0435755	-4.97738e-05	-0.000837242
09:44:51.216	1.59	0.0436866	-5.82771e-05	-0.000893515
09:44:51.226	1.6	0.0437462	-6.74225e-05	-0.000924055
09:44:51.236	1.61	0.0437341	-7.68723e-05	-0.000928938
09:44:51.246	1.62	0.0436416	-8.62911e-05	-0.000917262
09:44:51.256	1.63	0.0434859	-9.54749e-05	-0.000903055
09:44:51.266	1.64	0.0433369	-0.00010441	-0.000899039
09:44:51.276	1.65	0.0432627	-0.000113254	-0.000911428
09:44:51.286	1.66	0.0432782	-0.000122249	-0.000937852
09:44:51.296	1.67	0.0433634	-0.000131587	-0.000969285
09:44:51.306	1.68	0.0434809	-0.000141332	-0.000994687
09:44:51.316	1.69	0.0435894	-0.000151401	-0.00100641
09:44:51.326	1.7	0.043656	-0.000161592	-0.00100392
09:44:51.336	1.71	0.0436462	-0.000171697	-0.000994376
09:44:51.346	1.72	0.0435701	-0.000181607	-0.000989638
09:44:51.356	1.73	0.0434803	-0.000191374	-0.00100108
09:44:51.366	1.74	0.0434187	-0.000201202	-0.00103415
09:44:51.376	1.75	0.0433919	-0.000211387	-0.00108493
09:44:51.386	1.76	0.0433906	-0.000222186	-0.00114098
09:44:51.396	1.77	0.0434042	-0.000233684	-0.00118662
09:44:51.406	1.78	0.0434129	-0.000245738	-0.00121001
09:44:51.416	1.79	0.0433892	-0.000258042	-0.00120742
09:44:51.426	1.8	0.0433161	-0.000270274	-0.00118304
09:44:51.436	1.81	0.0432045	-0.000282193	-0.0011458
09:44:51.446	1.82	0.0431149	-0.000293664	-0.00110559
09:44:51.456	1.83	0.0431142	-0.000304669	-0.00106924
09:44:51.466	1.84	0.0432171	-0.000315298	-0.00103677
09:44:51.476	1.85	0.0433758	-0.000325668	-0.00100004
09:44:51.486	1.86	0.0435359	-0.000335793	-0.000946279
09:44:51.496	1.87	0.0436609	-0.00034548	-0.000865395
09:44:51.506	1.88	0.0437389	-0.000354366	-0.000756359
09:44:51.516	1.89	0.0437512	-0.000362078	-0.000628269
09:44:51.526	1.9	0.0436956	-0.000368383	-0.000496359
09:44:51.536	1.91	0.0436124	-0.00037325	-0.000375884
09:44:51.546	1.92	0.0435791	-0.000376835	-0.000277432
