TimeOfDay	Time	Air Flow	Lung Volume	Comp Ch 2
09:53:20.328	0	0.0460785	3.78594e-05	0.00372515
09:53:20.338	0.01	0.0460781	7.57115e-05	0.00372515
09:53:20.348	0.02	0.0460902	0.000113788	0.00372515
09:53:20.358	0.03	0.0461194	0.000152406	0.00372515
09:53:20.368	0.04	0.0461423	0.000191451	0.00338578
09:53:20.378	0.05	0.0461276	0.000230222	0.00279789
09:53:20.388	0.06	0.0460464	0.000255496	0.00222571
09:53:20.398	0.07	0.045845	0.000276647	0.00172874
09:53:20.408	0.08	0.0454636	0.000293746	0.00136275
09:53:20.418	0.09	0.0449095	0.00030709	0.00103579
09:53:20.428	0.1	0.0442683	0.000317116	0.0007559
09:53:20.438	0.11	0.0437048	0.000324331	0.000525918
09:53:20.448	0.12	0.0433396	0.000329258	0.000346628
09:53:20.458	0.13	0.0431932	0.000332395	0.000220817
09:53:20.468	0.14	0.0432424	0.000334217	0.000156405
09:53:20.478	0.15	0.0434616	0.00033529	0.000164808
09:53:20.488	0.16	0.0437975	0.00033635	0.000254565
09:53:20.498	0.17	0.0441744	0.000338306	0.000423589
09:53:20.508	0.18	0.0445265	0.000342078	0.000655557
09:53:20.518	0.19	0.0447931	0.000348384	0.000921648
09:53:20.528	0.2	0.0449249	0.000357607	0.00118546
09:53:20.538	0.21	0.0449395	0.000369744	0.00140854
09:53:20.548	0.22	0.0449	0.000384366	0.0015567
09:53:20.558	0.23	0.0448954	0.00040065	0.00160701
09:53:20.568	0.24	0.0449765	0.000417487	0.00155395
09:53:20.578	0.25	0.0451125	0.000433681	0.00141057
09:53:20.588	0.26	0.0452354	0.000448222	0.00120307
09:53:20.598	0.27	0.045282	0.000460455	0.000960759
09:53:20.608	0.28	0.0452009	0.000470093	0.000705338
09:53:20.618	0.29	0.0449613	0.000477119	0.000444391
09:53:20.628	0.3	0.0445605	0.000481616	0.000172114
09:53:20.638	0.31	0.0440771	0.000483516	-0.000124971
09:53:20.648	0.32	0.0436359	0.00048253	-0.00045634
09:53:20.658	0.33	0.0433097	0.000478271	-0.00081849
09:53:20.668	0.34	0.0431225	0.000470202	-0.0011877
09:53:20.678	0.35	0.0430725	0.000458118	-0.00152625
09:53:20.688	0.36	0.043125	0.000442333	-0.00179443
09:53:20.698	0.37	0.0431588	0.000423659	-0.00196544
09:53:20.708	0.38	0.0430197	0.000403237	-0.00203283
09:53:20.718	0.39	0.0427022	0.000382259	-0.00201064
09:53:20.728	0.4	0.0423335	0.000361724	-0.00192793
09:53:20.738	0.41	0.0420951	0.00034229	-0.00181897
09:53:20.748	0.42	0.0420969	0.000324183	-0.00171059
09:53:20.758	0.43	0.0423253	0.000307233	-0.00161206
09:53:20.768	0.44	0.042725	0.00029115	-0.00151428
