TimeOfDay	Time	Air Flow	Lung Volume	Comp Ch 2
09:38:56.218	0	0.0452174	1.32278e-05	0.00138346
09:38:56.228	0.01	0.0452181	2.64683e-05	0.00138346
09:38:56.238	0.02	0.045233	3.99861e-05	0.00138346
09:38:56.248	0.03	0.0452574	5.3956e-05	0.00138346
09:38:56.258	0.04	0.0452661	6.80881e-05	0.00135535
09:38:56.268	0.05	0.0452543	8.2e-05	0.00129873
09:38:56.278	0.06	0.0452438	9.48341e-05	0.0012345
09:38:56.288	0.07	0.0452416	0.000107178	0.00116575
09:38:56.298	0.08	0.0452373	0.000118918	0.00109263
09:38:56.308	0.09	0.0452118	0.000129931	0.00100729
09:38:56.318	0.1	0.0451454	0.000140081	0.000909757
09:38:56.328	0.11	0.0450591	0.000149255	0.000799266
09:38:56.338	0.12	0.0449658	0.000157347	0.000674734
09:38:56.348	0.13	0.0448745	0.000164206	0.000537661
09:38:56.358	0.14	0.0447951	0.000169648	0.000395591
09:38:56.368	0.15	0.0447245	0.000173555	0.000261832
09:38:56.378	0.16	0.0446533	0.000175995	0.000150974
09:38:56.388	0.17	0.0445827	0.000177254	7.31476e-05
09:38:56.398	0.18	0.0444969	0.000177724	3.15427e-05
09:38:56.408	0.19	0.0443814	0.000177807	2.31084e-05
09:38:56.418	0.2	0.0442487	0.000177857	4.08366e-05
09:38:56.428	0.21	0.0441633	0.000178149	7.59021e-05
09:38:56.438	0.22	0.0441855	0.000178859	0.000119978
09:38:56.448	0.23	0.0443183	0.000180054	0.000167381
09:38:56.458	0.24	0.0445067	0.00018173	0.000215819
09:38:56.468	0.25	0.0446945	0.000183878	0.000264252
09:38:56.478	0.26	0.0448517	0.000186518	0.000309026
09:38:56.488	0.27	0.0449651	0.000189671	0.000340985
09:38:56.498	0.28	0.0450165	0.000193257	0.000346548
09:38:56.508	0.29	0.044993	0.000197012	0.000312499
09:38:56.518	0.3	0.0449193	0.000200488	0.000232138
09:38:56.528	0.31	0.0448275	0.000203136	0.000109253
09:38:56.538	0.32	0.0447256	0.000204441	-4.4232e-05
09:38:56.548	0.33	0.0446075	0.000204072	-0.00021236
09:38:56.558	0.34	0.0444666	0.000201955	-0.000380688
09:38:56.568	0.35	0.0443042	0.000198057	-0.00053637
09:38:56.578	0.36	0.0441226	0.000192525	-0.000670158
09:38:56.588	0.37	0.0439272	0.000185625	-0.000776431
09:38:56.598	0.38	0.043755	0.000177661	-0.000853788
09:38:56.608	0.39	0.0436519	0.000168936	-0.000902932
09:38:56.618	0.4	0.0436127	0.00015973	-0.000924539
09:38:56.628	0.41	0.0436382	0.000150303	-0.000917828
09:38:56.638	0.42	0.0437285	0.000140925	-0.000880605
09:38:56.648	0.43	0.0438609	0.000131891	-0.000810874
09:38:56.658	0.44	0.0440044	0.000123549	-0.000709419
09:38:56.668	0.45	0.0441367	0.000116264	-0.000581512
09:38:56.678	0.46	0.0442347	0.000110327	-0.000436567
09:38:56.688	0.47	0.044296	0.000105926	-0.000286594
