Time	Air Flow	Lung Volume	Comp Ch 2
0.575	0.0388529	1.32724e-05	-0.000523485
0.58	0.0388606	1.0647e-05	-0.000543169
0.585	0.0388722	7.92534e-06	-0.00056086
0.59	0.0388904	5.11573e-06	-0.000576667
0.595	0.0389139	2.22556e-06	-0.000590224
0.6	0.0389401	-7.35293e-07	-0.00060084
0.605	0.0389629	-3.75223e-06	-0.000607741
0.61	0.0389772	-6.80594e-06	-0.000610314
0.615	0.0389824	-9.87361e-06	-0.000608245
0.62	0.0389786	-1.29308e-05	-0.000601599
0.625	0.038964	-1.59532e-05	-0.000590823
0.63	0.0389361	-1.89189e-05	-0.000576687
0.635	0.0388924	-2.18102e-05	-0.000560151
0.64	0.0388348	-2.46155e-05	-0.000542212
0.645	0.0387714	-2.7328e-05	-0.000523793
0.65	0.0387132	-2.99455e-05	-0.000505646
0.655	0.0386713	-3.24706e-05	-0.000488224
0.66	0.0386577	-3.49082e-05	-0.000471565
0.665	0.0386759	-3.72643e-05	-0.000455269
0.67	0.0387195	-3.95417e-05	-0.000438698
0.675	0.038781	-4.17388e-05	-0.000421235
0.68	0.0388551	-4.38497e-05	-0.000402479
0.685	0.0389342	-4.58671e-05	-0.000382199
0.69	0.0390082	-4.77836e-05	-0.000360205
0.695	0.0390683	-4.95911e-05	-0.00033628
0.7	0.0391105	-5.12799e-05	-0.000310283
0.705	0.0391386	-5.28386e-05	-0.000282312
0.71	0.0391563	-5.42559e-05	-0.000252829
0.715	0.0391674	-5.55228e-05	-0.000222658
0.72	0.0391757	-5.66349e-05	-0.000192881
0.725	0.0391845	-5.75939e-05	-0.000164629
0.73	0.0391982	-5.84081e-05	-0.000138886
0.735	0.0392177	-5.90913e-05	-0.000116349
0.74	0.0392404	-5.96606e-05	-9.73863e-05
0.745	0.0392585	-6.0135e-05	-8.20741e-05
0.75	0.0392662	-6.05335e-05	-7.02929e-05
0.755	0.0392624	-6.0874e-05	-6.18835e-05
0.76	0.0392479	-6.11728e-05	-5.67667e-05
0.765	0.0392242	-6.14455e-05	-5.49752e-05
0.77	0.0391949	-6.17089e-05	-5.65597e-05
0.775	0.0391633	-6.19803e-05	-6.14857e-05
0.78	0.0391348	-6.22769e-05	-6.9573e-05
0.785	0.0391162	-6.26152e-05	-8.0476e-05
0.79	0.0391094	-6.30095e-05	-9.36856e-05
0.795	0.0391118	-6.34722e-05	-0.000108484
0.8	0.0391219	-6.4012e-05	-0.00012392
0.805	0.0391395	-6.46332e-05	-0.00013885
0.81	0.0391613	-6.53335e-05	-0.000152143
0.815	0.0391818	-6.61035e-05	-0.000162934
0.82	0.0391932	-6.69287e-05	-0.000170786
0.825	0.0391884	-6.77929e-05	-0.000175647
0.83	0.0391665	-6.86806e-05	-0.000177729
0.835	0.0391325	-6.95775e-05	-0.000177413
0.84	0.039092	-7.04711e-05	-0.000175173
0.845	0.0390511	-7.13514e-05	-0.000171467
0.85	0.0390163	-7.22121e-05	-0.000166593
0.855	0.0389935	-7.30484e-05	-0.000160632
0.86	0.0389869	-7.38555e-05	-0.00015353
0.865	0.0389969	-7.46274e-05	-0.000145229
0.87	0.0390213	-7.53576e-05	-0.000135751
0.875	0.0390575	-7.604e-05	-0.000125229
0.88	0.0390975	-7.6669e-05	-0.000113919
0.885	0.0391308	-7.72402e-05	-0.000102239
0.89	0.0391538	-7.7751e-05	-9.07626e-05
0.895	0.0391675	-7.82018e-05	-8.01591e-05
0.9	0.0391733	-7.85972e-05	-7.1056e-05
0.905	0.0391743	-7.89456e-05	-6.39618e-05
0.91	0.0391752	-7.92573e-05	-5.92703e-05
0.915	0.0391823	-7.95446e-05	-5.73132e-05
0.92	0.0391994	-7.9821e-05	-5.83907e-05
0.925	0.0392274	-8.01018e-05	-6.27181e-05
0.93	0.039264	-8.04039e-05	-7.03032e-05
0.935	0.0393044	-8.07448e-05	-8.0809e-05
0.94	0.0393417	-8.11409e-05	-9.35235e-05
0.945	0.0393663	-8.16045e-05	-0.000107485
0.95	0.0393694	-8.21414e-05	-0.000121724
0.955	0.0393461	-8.27523e-05	-0.000135462
0.96	0.039298	-8.34334e-05	-0.000148222
0.965	0.0392331	-8.41788e-05	-0.000159832
0.97	0.0391607	-8.49818e-05	-0.000170406
