Time	Air Flow	Lung Volume	Comp Ch 2
0.575	0.0379809	-0.00110374	-0.00197858
0.58	0.0379793	-0.00111366	-0.00200928
0.585	0.0379759	-0.00112372	-0.00203433
0.59	0.037966	-0.00113391	-0.00205443
0.595	0.0379507	-0.0011442	-0.00207037
0.6	0.0379349	-0.00115456	-0.002083
0.605	0.0379227	-0.00116498	-0.00209328
0.61	0.0379166	-0.00117545	-0.00210246
0.615	0.0379207	-0.00118596	-0.00211207
0.62	0.0379386	-0.00119652	-0.00212375
0.625	0.0379702	-0.00120712	-0.00213878
0.63	0.0380112	-0.0012178	-0.00215786
0.635	0.0380562	-0.00122858	-0.00218095
0.64	0.0381004	-0.00123947	-0.00220743
0.645	0.0381377	-0.0012505	-0.00223626
0.65	0.0381628	-0.00126168	-0.00226622
0.655	0.0381727	-0.00127301	-0.00229625
0.66	0.0381653	-0.00128449	-0.00232561
0.665	0.0381396	-0.00129612	-0.00235396
0.67	0.0380971	-0.0013079	-0.00238126
0.675	0.0380387	-0.00131981	-0.00240779
0.68	0.0379651	-0.00133185	-0.00243388
0.685	0.0378792	-0.00134402	-0.00245979
0.69	0.0377881	-0.00135632	-0.00248541
0.695	0.0377018	-0.00136874	-0.00251004
0.7	0.0376282	-0.0013813	-0.00253239
0.705	0.0375713	-0.00139398	-0.00255058
0.71	0.0375307	-0.00140675	-0.00256259
0.715	0.0375054	-0.00141959	-0.00256646
0.72	0.0374937	-0.00143246	-0.00256064
0.725	0.0374926	-0.0014453	-0.00254397
0.73	0.0374986	-0.00145806	-0.00251565
0.735	0.0375109	-0.00147067	-0.0024751
0.74	0.0375286	-0.00148309	-0.00242195
0.745	0.037552	-0.00149525	-0.00235599
0.75	0.0375824	-0.00150707	-0.00227744
0.755	0.0376216	-0.0015185	-0.0021871
0.76	0.0376738	-0.00152947	-0.00208626
0.765	0.0377456	-0.00153993	-0.00197657
0.77	0.0378426	-0.00154983	-0.00185955
0.775	0.037963	-0.00155915	-0.00173668
0.78	0.0380987	-0.00156785	-0.00160916
0.785	0.038241	-0.00157591	-0.00147829
0.79	0.0383821	-0.00158331	-0.00134532
0.795	0.0385162	-0.00159004	-0.00121175
0.8	0.0386412	-0.00159609	-0.00107907
0.805	0.0387575	-0.00160148	-0.000948873
0.81	0.038867	-0.00160621	-0.000822585
0.815	0.0389714	-0.0016103	-0.000701824
0.82	0.0390693	-0.00161379	-0.000588151
0.825	0.0391556	-0.0016167	-0.000483191
0.83	0.0392297	-0.00161908	-0.000388175
