SoftwareTimestamp,hardwareLoop,hardwareISR,Temperature,Flow,Pressure,TimeDuration
2025-04-03 09:39:05.150620,31.81,5.39,2497,,,
2025-04-03 09:39:05.154608,25248,25230,30.02,32.70,5.70,2205
2025-04-03 09:39:05.160496,30249,30230,30.02,32.70,5.70,2429
2025-04-03 09:39:05.165602,35249,35230,30.02,30.90,5.09,2990
2025-04-03 09:39:05.169837,40249,40230,30.02,31.81,5.39,2112
2025-04-03 09:39:05.175211,45249,45230,30.02,32.70,5.70,2940
2025-04-03 09:39:05.180166,50248,50230,30.02,32.70,5.70,2582
2025-04-03 09:39:05.185167,55249,55230,30.02,31.81,5.39,2845
2025-04-03 09:39:05.191207,60248,60230,30.02,32.70,5.70,3254
2025-04-03 09:39:05.194262,65249,65230,30.02,31.81,5.39,2103
2025-04-03 09:39:05.200188,70249,70230,30.02,33.57,6.00,2496
2025-04-03 09:39:05.206219,75249,75230,30.02,30.90,5.09,3527
2025-04-03 09:39:05.210171,80249,80230,30.02,32.70,5.70,2551
2025-04-03 09:39:05.215275,85249,85230,30.02,32.70,5.70,2515
2025-04-03 09:39:05.220137,2868,90230,30.02,33.57,6.00,2648
2025-04-03 09:39:05.225167,7868,7849,30.02,34.82,6.46,3068
2025-04-03 09:39:05.230341,12865,12849,30.02,32.70,5.70,3100
2025-04-03 09:39:05.236093,17868,17849,30.02,34.82,6.46,3202
2025-04-03 09:39:05.240083,22866,22849,30.02,33.57,6.00,2308
2025-04-03 09:39:05.245118,27868,27849,30.02,34.82,6.46,2884
2025-04-03 09:39:05.249161,32866,32849,30.02,33.57,6.00,2174
2025-04-03 09:39:05.255094,37868,37849,30.02,33.57,6.00,2826
2025-04-03 09:39:05.260101,42868,42849,30.02,33.57,6.00,2711
2025-04-03 09:39:05.264053,47868,47849,30.02,35.64,6.77,1841
2025-04-03 09:39:05.270131,52866,52849,30.02,34.82,6.46,2846
2025-04-03 09:39:05.274990,57868,57849,30.02,33.57,6.00,2616
2025-04-03 09:39:05.280974,62866,62849,30.02,33.57,6.00,3225
2025-04-03 09:39:05.284963,67866,67849,30.02,34.82,6.46,2537
2025-04-03 09:39:05.290086,72868,72849,30.02,33.57,6.00,2865
2025-04-03 09:39:05.295074,77866,77849,30.02,34.82,6.46,2480
2025-04-03 09:39:05.300333,82866,82849,30.02,34.82,6.46,3072
2025-04-03 09:39:05.305048,486,87849,30.02,33.57,6.00,2445
2025-04-03 09:39:05.310033,5486,5468,30.02,33.57,6.00,2290
2025-04-03 09:39:05.315084,10486,10468,30.02,32.70,5.70,2891
2025-04-03 09:39:05.320006,15485,15468,30.02,33.57,6.00,2606
2025-04-03 09:39:05.325151,20486,20468,30.02,32.70,5.70,2564
