SoftwareTimestamp,hardwareLoop,hardwareISR,Temperature,Flow,Pressure,TimeDuration
2025-04-03 09:11:25.573450,62252,62233,27.28,33.57,6.00,2422
2025-04-03 09:11:25.578741,67252,67233,27.28,34.82,6.46,2609
2025-04-03 09:11:25.584330,72252,72233,27.28,33.57,6.00,2538
2025-04-03 09:11:25.589250,77252,77233,27.28,34.82,6.46,2987
2025-04-03 09:11:25.593713,82252,82233,27.28,33.57,6.00,2535
2025-04-03 09:11:25.599500,87252,87233,27.28,33.57,6.00,2911
2025-04-03 09:11:25.604251,4870,92233,27.28,32.70,5.70,2825
2025-04-03 09:11:25.609249,9870,9852,27.28,33.57,6.00,3377
2025-04-03 09:11:25.613236,14868,14852,27.28,30.90,5.09,2266
2025-04-03 09:11:25.618206,19870,19852,27.28,32.70,5.70,2106
2025-04-03 09:11:25.624302,24869,24852,27.28,34.82,6.46,3089
2025-04-03 09:11:25.628765,29869,29852,27.28,32.70,5.70,2432
2025-04-03 09:11:25.634559,34869,34852,27.28,33.57,6.00,2998
2025-04-03 09:11:25.638440,39870,39852,27.28,32.70,5.70,2545
2025-04-03 09:11:25.644377,44870,44852,27.28,33.57,6.00,2713
2025-04-03 09:11:25.648789,49870,49852,27.28,32.70,5.70,2433
2025-04-03 09:11:25.654377,54869,54852,27.28,35.64,6.77,3276
2025-04-03 09:11:25.658631,59870,59852,27.28,33.57,6.00,2624
2025-04-03 09:11:25.663660,64870,64852,27.28,35.64,6.77,2602
2025-04-03 09:11:25.669319,69870,69852,27.28,34.82,6.46,2640
2025-04-03 09:11:25.674674,74870,74852,27.28,33.57,6.00,3093
2025-04-03 09:11:25.679247,79872,79852,27.28,34.82,6.46,2905
2025-04-03 09:11:25.684236,84870,84852,27.28,35.64,6.77,2768
2025-04-03 09:11:25.688534,2490,89852,27.28,34.82,6.46,2560
2025-04-03 09:11:25.693944,7488,7470,27.28,35.64,6.77,2390
2025-04-03 09:11:25.699231,12488,12470,27.28,34.82,6.46,2721
2025-04-03 09:11:25.703804,17489,17470,27.28,34.82,6.46,2368
2025-04-03 09:11:25.709331,22489,22470,27.28,35.64,6.77,3170
2025-04-03 09:11:25.713257,27489,27470,27.38,33.57,6.00,2473
2025-04-03 09:11:25.719142,32489,32470,27.38,35.64,6.77,2922
2025-04-03 09:11:25.724194,37489,37470,27.38,33.57,6.00,3208
2025-04-03 09:11:25.729175,42489,42470,27.38,33.57,6.00,3189
