SoftwareTimestamp,hardwareLoop,hardwareISR,Temperature,Flow,Pressure,TimeDuration
2025-04-03 09:21:30.039239,18662,18644,29.34,34.82,6.46,2398
2025-04-03 09:21:30.044189,23662,23644,29.34,35.64,6.77,2158
2025-04-03 09:21:30.050725,28662,28644,29.34,35.64,6.77,3008
2025-04-03 09:21:30.055100,33662,33644,29.34,34.82,6.46,2345
2025-04-03 09:21:30.059158,38662,38644,29.34,35.64,6.77,2288
2025-04-03 09:21:30.065218,43662,43644,29.34,34.82,6.46,3084
2025-04-03 09:21:30.070429,48661,48644,29.34,34.82,6.46,2722
2025-04-03 09:21:30.075470,53661,53644,29.34,34.82,6.46,3002
2025-04-03 09:21:30.080361,58665,58646,29.34,34.82,6.46,3003
2025-04-03 09:21:30.085754,63665,63644,29.34,33.57,6.00,3164
2025-04-03 09:21:30.090588,68665,68644,29.34,34.82,6.46,3324
2025-04-03 09:21:30.094516,73666,73644,29.34,34.82,6.46,2431
2025-04-03 09:21:30.100376,78666,78644,29.34,34.82,6.46,2921
2025-04-03 09:21:30.104441,83666,83644,29.34,33.57,6.00,2608
2025-04-03 09:21:30.110280,1280,88644,29.34,34.82,6.46,3026
2025-04-03 09:21:30.115308,6281,6262,29.34,33.57,6.00,2638
2025-04-03 09:21:30.120255,11281,11262,29.34,34.82,6.46,3291
2025-04-03 09:21:30.124528,16281,16262,29.34,34.82,6.46,2465
2025-04-03 09:21:30.130245,21281,21262,29.34,33.57,6.00,2749
2025-04-03 09:21:30.135976,26280,26262,29.34,33.57,6.00,3401
2025-04-03 09:21:30.140202,31281,31262,29.34,33.57,6.00,2470
2025-04-03 09:21:30.146186,36281,36262,29.34,35.64,6.77,3435
2025-04-03 09:21:30.150703,41281,41262,29.34,36.43,7.07,3228
2025-04-03 09:21:30.155172,46281,46262,29.34,33.57,6.00,2866
2025-04-03 09:21:30.159162,51280,51262,29.34,35.64,6.77,2520
2025-04-03 09:21:30.165184,56281,56262,29.34,35.64,6.77,2588
2025-04-03 09:21:30.170441,61281,61262,29.34,35.64,6.77,2916
2025-04-03 09:21:30.175277,66281,66262,29.34,35.64,6.77,3328
2025-04-03 09:21:30.179161,71281,71262,29.34,33.57,6.00,2371
2025-04-03 09:21:30.184366,76281,76262,29.34,34.82,6.46,2659
2025-04-03 09:21:30.191252,81282,81262,29.34,34.82,6.46,3663
2025-04-03 09:21:30.194245,86281,86262,29.34,36.43,7.07,2139
2025-04-03 09:21:30.199330,3900,91262,29.34,34.82,6.46,2581
2025-04-03 09:21:30.204217,8900,8881,29.34,34.82,6.46,2497
2025-04-03 09:21:30.208209,13900,13881,29.34,35.64,6.77,1600
2025-04-03 09:21:30.214192,18900,18881,29.34,35.64,6.77,1650
2025-04-03 09:21:30.219179,23898,23881,29.34,34.82,6.46,1664
2025-04-03 09:21:30.225158,28900,28881,29.34,35.64,6.77,2224
