SoftwareTimestamp,hardwareLoop,hardwareISR,Temperature,Flow,Pressure,TimeDuration
2025-04-03 10:01:19.080405,2,33.57,6.00,1864,,
2025-04-03 10:01:19.085264,13713,13694,30.02,33.57,6.00,1921
2025-04-03 10:01:19.091248,18712,18694,30.02,33.57,6.00,1856
2025-04-03 10:01:19.095238,23712,23694,30.02,33.57,6.00,1998
2025-04-03 10:01:19.101222,28713,28694,30.02,33.57,6.00,1977
2025-04-03 10:01:19.106208,33713,33694,30.02,33.57,6.00,2124
2025-04-03 10:01:19.111196,38713,38694,30.02,33.57,6.00,1625
2025-04-03 10:01:19.116183,43713,43694,30.02,33.57,6.00,1928
2025-04-03 10:01:19.121168,48713,48694,30.02,32.70,5.70,2220
2025-04-03 10:01:19.126192,53713,53694,30.02,33.57,6.00,1709
2025-04-03 10:01:19.131186,58713,58694,30.02,32.70,5.70,1718
2025-04-03 10:01:19.136168,63713,63694,30.02,31.81,5.39,1756
2025-04-03 10:01:19.141115,68713,68694,30.02,32.70,5.70,1942
2025-04-03 10:01:19.146101,73713,73694,30.02,33.57,6.00,1691
2025-04-03 10:01:19.151088,78713,78694,30.02,32.70,5.70,1705
2025-04-03 10:01:19.156978,83714,83694,30.02,32.70,5.70,1681
2025-04-03 10:01:19.161114,1332,88694,30.02,31.81,5.39,1695
2025-04-03 10:01:19.166048,6330,6313,30.02,31.81,5.39,1716
2025-04-03 10:01:19.171292,11332,11313,30.02,31.81,5.39,1960
2025-04-03 10:01:19.176021,16332,16313,30.02,32.70,5.70,1817
2025-04-03 10:01:19.181008,21330,21313,30.02,32.70,5.70,1949
2025-04-03 10:01:19.185994,26330,26313,30.02,32.70,5.70,1884
2025-04-03 10:01:19.191023,31332,31313,30.02,32.70,5.70,1853
2025-04-03 10:01:19.195967,36332,36313,30.02,31.81,5.39,1867
2025-04-03 10:01:19.201098,41332,41313,30.02,32.70,5.70,1882
2025-04-03 10:01:19.205984,46332,46313,30.02,32.70,5.70,1726
2025-04-03 10:01:19.210971,51330,51313,30.02,32.70,5.70,1744
2025-04-03 10:01:19.215957,56332,56313,30.02,32.70,5.70,1672
2025-04-03 10:01:19.220902,61332,61313,30.02,32.70,5.70,1744
2025-04-03 10:01:19.226171,66332,66313,30.02,31.81,5.39,1830
2025-04-03 10:01:19.230926,71332,71313,30.02,33.57,6.00,1984
2025-04-03 10:01:19.235863,76332,76313,30.02,33.57,6.00,1935
2025-04-03 10:01:19.241037,81332,81313,30.02,32.70,5.70,1911
2025-04-03 10:01:19.245834,86332,86313,30.02,33.57,6.00,2053
2025-04-03 10:01:19.250825,3950,91313,30.02,33.57,6.00,1954
2025-04-03 10:01:19.255813,8950,8932,30.02,32.70,5.70,1789
2025-04-03 10:01:19.260836,13950,13932,30.02,33.57,6.00,1869
2025-04-03 10:01:19.265807,18950,18932,30.02,34.82,6.46,1753
2025-04-03 10:01:19.270904,23950,23932,30.02,31.81,5.39,2269
2025-04-03 10:01:19.275871,28948,28932,30.02,33.57,6.00,1928
2025-04-03 10:01:19.280741,33949,33932,30.02,32.70,5.70,1689
2025-04-03 10:01:19.286040,38949,38932,30.02,32.70,5.70,1714
2025-04-03 10:01:19.291024,43950,43932,30.02,32.70,5.70,1733
2025-04-03 10:01:19.296012,48950,48932,30.02,33.57,6.00,1709
2025-04-03 10:01:19.301003,53949,53932,30.02,34.82,6.46,1641
2025-04-03 10:01:19.305024,58949,58932,30.02,33.57,6.00,1578
2025-04-03 10:01:19.310971,63950,63932,30.02,33.57,6.00,2025
2025-04-03 10:01:19.315653,68950,68932,30.02,34.82,6.46,1640
2025-04-03 10:01:19.320983,73950,73932,30.02,33.57,6.00,1796
2025-04-03 10:01:19.326726,78950,78932,30.02,32.70,5.70,2100
2025-04-03 10:01:19.330213,83950,83932,30.02,32.70,5.70,1653
2025-04-03 10:01:19.336191,1569,88932,30.02,33.57,6.00,1672
2025-04-03 10:01:19.341225,6568,6550,30.02,31.81,5.39,1829
2025-04-03 10:01:19.345168,11569,11550,30.02,33.57,6.00,1912
2025-04-03 10:01:19.350154,16569,16550,30.02,34.82,6.46,1804
2025-04-03 10:01:19.355141,21569,21550,30.02,31.81,5.39,1918
2025-04-03 10:01:19.361124,26569,26550,30.02,33.57,6.00,1685
2025-04-03 10:01:19.366110,31569,31550,30.02,34.82,6.46,2048
2025-04-03 10:01:19.370101,36569,36550,30.02,32.70,5.70,1925
2025-04-03 10:01:19.377081,41568,41550,30.02,31.81,5.39,2008
2025-04-03 10:01:19.380145,46569,46550,30.02,32.70,5.70,1648
2025-04-03 10:01:19.386062,51569,51550,30.02,31.81,5.39,1654
2025-04-03 10:01:19.391184,56569,56550,30.02,33.57,6.00,1626
2025-04-03 10:01:19.394999,61568,61550,30.02,33.57,6.00,1786
2025-04-03 10:01:19.399985,66569,66550,30.02,32.70,5.70,1683
2025-04-03 10:01:19.405968,71570,71550,30.02,32.70,5.70,1796
2025-04-03 10:01:19.410956,76569,76550,30.02,30.90,5.09,1770
2025-04-03 10:01:19.415942,81569,81550,30.02,33.57,6.00,1953
2025-04-03 10:01:19.419936,86568,86550,30.02,33.57,6.00,1672
2025-04-03 10:01:19.424965,4188,91550,30.02,32.70,5.70,1628
2025-04-03 10:01:19.429905,9188,9169,30.02,32.70,5.70,1596
2025-04-03 10:01:19.434892,14188,14169,30.02,33.57,6.00,1661
2025-04-03 10:01:19.440876,19188,19169,30.02,34.82,6.46,1655
2025-04-03 10:01:19.445871,24186,24169,30.02,33.57,6.00,2122
2025-04-03 10:01:19.451368,29188,29169,30.02,32.70,5.70,1838
2025-04-03 10:01:19.455835,34188,34169,30.02,32.70,5.70,1911
2025-04-03 10:01:19.461819,39186,39169,30.02,33.57,6.00,2830
2025-04-03 10:01:19.465888,44186,44169,30.02,34.82,6.46,2260
2025-04-03 10:01:19.470804,49185,49169,30.02,32.70,5.70,2554
2025-04-03 10:01:19.476026,54188,54169,30.02,33.57,6.00,2506
2025-04-03 10:01:19.480771,59188,59169,30.02,35.64,6.77,2440
2025-04-03 10:01:19.485787,64188,64169,30.02,33.57,6.00,2522
2025-04-03 10:01:19.490837,69188,69169,30.02,32.70,5.70,2303
2025-04-03 10:01:19.494731,74188,74169,30.02,31.81,5.39,1596
2025-04-03 10:01:19.499718,79188,79169,30.02,33.57,6.00,1597
2025-04-03 10:01:19.504704,84188,84169,30.02,34.82,6.46,1605
2025-04-03 10:01:19.510316,1806,89169,30.02,33.57,6.00,1845
2025-04-03 10:01:19.514679,6805,6788,30.02,33.57,6.00,1602
2025-04-03 10:01:19.519664,11805,11788,30.02,33.57,6.00,1607
2025-04-03 10:01:19.524655,16806,16788,30.02,33.57,6.00,1608
2025-04-03 10:01:19.529645,21806,21788,30.02,33.57,6.00,1620
2025-04-03 10:01:19.535621,26804,26788,30.02,32.70,5.70,1772
2025-04-03 10:01:19.539611,31806,31788,30.02,33.57,6.00,1645
2025-04-03 10:01:19.545838,36806,36788,30.02,34.82,6.46,1733
2025-04-03 10:01:19.549584,41806,41788,30.02,32.70,5.70,1591
2025-04-03 10:01:19.555568,46806,46788,30.02,33.57,6.00,1944
2025-04-03 10:01:19.560564,51805,51788,30.02,34.82,6.46,1889
2025-04-03 10:01:19.564543,56806,56788,30.02,33.57,6.00,1605
2025-04-03 10:01:19.569531,61806,61788,30.02,34.82,6.46,1568
2025-04-03 10:01:19.575533,66806,66788,30.02,32.70,5.70,1735
2025-04-03 10:01:19.579506,71806,71788,30.02,33.57,6.00,1612
2025-04-03 10:01:19.584667,76806,76788,30.02,33.57,6.00,1567
2025-04-03 10:01:19.589694,81806,81788,30.02,34.82,6.46,1635
2025-04-03 10:01:19.594903,86806,86788,30.02,33.57,6.00,1592
2025-04-03 10:01:19.599650,4425,91788,30.02,35.64,6.77,1592
2025-04-03 10:01:19.604651,9425,9406,30.02,33.57,6.00,1599
2025-04-03 10:01:19.609604,14424,14406,30.02,33.57,6.00,1945
2025-04-03 10:01:19.615588,19425,19406,30.02,32.70,5.70,2036
2025-04-03 10:01:19.620575,24425,24406,30.02,33.57,6.00,2135
2025-04-03 10:01:19.625609,29425,29406,30.02,33.57,6.00,1989
2025-04-03 10:01:19.630548,34425,34406,30.02,33.57,6.00,1958
2025-04-03 10:01:19.635535,39425,39406,30.02,33.57,6.00,1969
2025-04-03 10:01:19.640523,44425,44406,30.02,32.70,5.70,1933
2025-04-03 10:01:19.644510,49425,49406,30.02,33.57,6.00,1750
2025-04-03 10:01:19.650581,54424,54406,30.02,33.57,6.00,2170
2025-04-03 10:01:19.655482,59422,59406,30.02,34.82,6.46,2076
2025-04-03 10:01:19.659740,64425,64406,30.02,33.57,6.00,1623
2025-04-03 10:01:19.665571,69425,69406,30.02,34.82,6.46,2473
2025-04-03 10:01:19.669445,74424,74406,30.02,32.70,5.70,1634
2025-04-03 10:01:19.674431,79425,79406,30.02,32.70,5.70,1563
2025-04-03 10:01:19.680609,84425,84406,30.02,32.70,5.70,2334
2025-04-03 10:01:19.685217,2045,89406,30.02,33.57,6.00,2024
2025-04-03 10:01:19.690154,7042,7025,30.02,33.57,6.00,1880
2025-04-03 10:01:19.695141,12044,12025,30.02,33.57,6.00,1865
2025-04-03 10:01:19.700128,17042,17025,30.02,32.70,5.70,1938
2025-04-03 10:01:19.705114,22044,22025,30.02,32.70,5.70,1873
2025-04-03 10:01:19.711267,27044,27025,30.02,32.70,5.70,1680
2025-04-03 10:01:19.715316,32044,32025,30.02,32.70,5.70,1944
2025-04-03 10:01:19.720082,37044,37025,30.02,34.82,6.46,2038
2025-04-03 10:01:19.725061,42044,42025,30.02,32.70,5.70,1825
2025-04-03 10:01:19.730047,47044,47025,30.02,32.70,5.70,1602
2025-04-03 10:01:19.735043,52042,52025,30.02,33.57,6.00,1740
2025-04-03 10:01:19.740128,57042,57025,30.02,32.70,5.70,1602
2025-04-03 10:01:19.745458,62044,62025,30.02,34.82,6.46,1721
2025-04-03 10:01:19.750001,67044,67025,30.02,33.57,6.00,1724
2025-04-03 10:01:19.754988,72044,72025,30.02,33.57,6.00,1833
2025-04-03 10:01:19.759969,77044,77025,30.02,32.70,5.70,1854
2025-04-03 10:01:19.765397,82042,82025,30.02,32.70,5.70,2216
2025-04-03 10:01:19.769941,87044,87025,30.02,35.64,6.77,1584
2025-04-03 10:01:19.774927,4662,92025,30.02,32.70,5.70,1565
2025-04-03 10:01:19.779915,9662,9644,30.02,35.64,6.77,1676
2025-04-03 10:01:19.785140,14661,14644,30.02,34.82,6.46,1900
2025-04-03 10:01:19.790134,19662,19644,30.02,33.57,6.00,1875
2025-04-03 10:01:19.795125,24660,24644,30.02,32.70,5.70,2095
2025-04-03 10:01:19.800107,29662,29644,30.02,33.57,6.00,1608
2025-04-03 10:01:19.805107,34662,34644,30.02,34.82,6.46,1698
2025-04-03 10:01:19.811082,39662,39644,30.02,32.70,5.70,1832
2025-04-03 10:01:19.815074,44662,44644,30.02,34.82,6.46,1631
2025-04-03 10:01:19.820053,49661,49644,30.02,33.57,6.00,1802
2025-04-03 10:01:19.825042,54661,54644,30.02,33.57,6.00,1917
2025-04-03 10:01:19.830028,59662,59644,30.02,32.70,5.70,1813
2025-04-03 10:01:19.835015,64661,64644,30.02,34.82,6.46,2117
2025-04-03 10:01:19.841000,69662,69644,30.02,35.64,6.77,1726
2025-04-03 10:01:19.846308,74662,74644,30.02,34.82,6.46,3176
2025-04-03 10:01:19.851395,79662,79644,30.02,33.57,6.00,3025
2025-04-03 10:01:19.856790,84662,84644,30.02,35.64,6.77,3036
2025-04-03 10:01:19.860947,2281,89644,30.02,33.57,6.00,2230
2025-04-03 10:01:19.866930,7280,7262,30.02,36.43,7.07,3304
2025-04-03 10:01:19.871245,12281,12262,30.02,34.82,6.46,2862
2025-04-03 10:01:19.874907,17281,17262,30.02,35.64,6.77,1778
2025-04-03 10:01:19.881984,22282,22262,30.02,32.70,5.70,3553
2025-04-03 10:01:19.886423,27281,27262,30.02,34.82,6.46,3080
2025-04-03 10:01:19.890235,32280,32262,30.02,34.82,6.46,2149
2025-04-03 10:01:19.896221,37281,37262,30.02,34.82,6.46,3277
2025-04-03 10:01:19.901207,42281,42262,30.02,36.43,7.07,2729
2025-04-03 10:01:19.905195,47281,47262,30.02,34.82,6.46,2452
2025-04-03 10:01:19.910181,52280,52262,30.02,34.82,6.46,2076
2025-04-03 10:01:19.915908,57281,57262,30.02,33.57,6.00,2630
2025-04-03 10:01:19.919206,62281,62262,30.02,32.70,5.70,1608
2025-04-03 10:01:19.924557,67281,67262,30.02,34.82,6.46,1617
2025-04-03 10:01:19.929478,72281,72262,30.02,31.81,5.39,1646
2025-04-03 10:01:19.934684,77282,77262,30.02,34.82,6.46,1648
2025-04-03 10:01:19.939275,82281,82262,30.02,32.70,5.70,1633
2025-04-03 10:01:19.944358,87281,87262,30.02,30.90,5.09,1648
2025-04-03 10:01:19.950074,4900,92262,30.02,32.70,5.70,1574
2025-04-03 10:01:19.955060,9900,9881,30.02,31.81,5.39,1625
2025-04-03 10:01:19.960047,14897,14881,30.02,31.81,5.39,1955
2025-04-03 10:01:19.965038,19898,19881,30.02,34.82,6.46,1836
2025-04-03 10:01:19.970024,24898,24881,30.02,30.90,5.09,1650
2025-04-03 10:01:19.975012,29900,29881,30.02,33.57,6.00,1718
2025-04-03 10:01:19.979995,34898,34881,30.02,32.70,5.70,1984
2025-04-03 10:01:19.984019,39900,39881,30.02,32.70,5.70,1609
2025-04-03 10:01:19.990012,44900,44881,30.02,32.70,5.70,2025
2025-04-03 10:01:19.995052,49898,49881,30.02,34.82,6.46,2260
2025-04-03 10:01:19.999941,54898,54881,29.92,33.57,6.00,1992
2025-04-03 10:01:20.004929,59900,59881,29.92,31.81,5.39,2132
2025-04-03 10:01:20.009955,64902,64884,29.92,34.82,6.46,2003
2025-04-03 10:01:20.014937,69902,69881,29.92,32.70,5.70,1636
2025-04-03 10:01:20.020022,74902,74881,29.92,31.81,5.39,2114
2025-04-03 10:01:20.024950,79902,79881,29.92,31.81,5.39,1600
2025-04-03 10:01:20.029861,84900,84881,29.92,32.70,5.70,1609
2025-04-03 10:01:20.035846,2518,89881,29.92,31.81,5.39,2555
2025-04-03 10:01:20.040832,7518,7500,29.92,32.70,5.70,2377
2025-04-03 10:01:20.044857,12517,12500,29.92,30.90,5.09,1790
2025-04-03 10:01:20.050806,17517,17500,29.92,34.82,6.46,2378
2025-04-03 10:01:20.054875,22518,22500,29.92,30.90,5.09,2343
2025-04-03 10:01:20.059781,27518,27500,29.92,31.81,5.39,2060
2025-04-03 10:01:20.064768,32518,32500,29.92,31.81,5.39,1670
2025-04-03 10:01:20.069754,37518,37500,29.92,31.81,5.39,1649
2025-04-03 10:01:20.074741,42518,42500,29.92,31.81,5.39,1644
2025-04-03 10:01:20.079728,47518,47500,29.92,32.70,5.70,1688
2025-04-03 10:01:20.084715,52517,52500,29.92,32.70,5.70,1694
2025-04-03 10:01:20.089390,57518,57500,29.92,32.70,5.70,1848
2025-04-03 10:01:20.095362,62517,62500,29.92,29.96,4.78,2610
2025-04-03 10:01:20.100411,67518,67500,29.92,31.81,5.39,2478
2025-04-03 10:01:20.104336,72518,72500,29.92,30.90,5.09,1964
2025-04-03 10:01:20.110278,77518,77500,29.92,31.81,5.39,2336
2025-04-03 10:01:20.115489,82518,82500,29.92,32.70,5.70,2504
2025-04-03 10:01:20.120289,137,87500,29.92,30.90,5.09,2435
2025-04-03 10:01:20.125219,5137,5118,29.92,31.81,5.39,2432
2025-04-03 10:01:20.130555,10137,10118,29.92,31.81,5.39,2563
2025-04-03 10:01:20.135193,15136,15118,29.92,31.81,5.39,2794
2025-04-03 10:01:20.140181,20137,20118,29.92,32.70,5.70,2612
2025-04-03 10:01:20.145167,25137,25118,29.92,35.64,6.77,2378
2025-04-03 10:01:20.150500,30137,30118,29.92,33.57,6.00,2523
2025-04-03 10:01:20.155164,35136,35118,29.92,28.99,4.48,2466
2025-04-03 10:01:20.160181,40138,40118,29.92,32.70,5.70,2420
2025-04-03 10:01:20.165112,45137,45118,29.92,30.90,5.09,1997
2025-04-03 10:01:20.170098,50137,50118,29.92,34.82,6.46,2026
2025-04-03 10:01:20.175085,55137,55118,29.92,35.64,6.77,2237
2025-04-03 10:01:20.180389,60136,60118,29.92,35.64,6.77,2745
2025-04-03 10:01:20.184061,65137,65118,29.92,32.70,5.70,1599
2025-04-03 10:01:20.189222,70137,70118,29.92,33.57,6.00,1644
2025-04-03 10:01:20.194100,75137,75118,29.92,29.96,4.78,1652
2025-04-03 10:01:20.199231,80137,80118,29.92,31.81,5.39,1624
2025-04-03 10:01:20.205004,85137,85118,29.92,32.70,5.70,2040
2025-04-03 10:01:20.209991,2756,90118,29.92,34.82,6.46,1969
2025-04-03 10:01:20.214977,7756,7737,29.92,33.57,6.00,2046
2025-04-03 10:01:20.220009,12754,12737,29.92,29.96,4.78,2098
2025-04-03 10:01:20.223953,17754,17737,29.92,30.90,5.09,1588
2025-04-03 10:01:20.229097,22756,22737,29.92,34.82,6.46,1564
2025-04-03 10:01:20.234924,27756,27737,29.92,33.57,6.00,2261
2025-04-03 10:01:20.239933,32756,32737,29.92,33.57,6.00,2153
2025-04-03 10:01:20.244897,37756,37737,29.92,31.81,5.39,2145
2025-04-03 10:01:20.249922,42756,42737,29.92,34.82,6.46,1967
2025-04-03 10:01:20.253875,47756,47737,29.92,32.70,5.70,1584
2025-04-03 10:01:20.259858,52754,52737,29.92,32.70,5.70,1793
2025-04-03 10:01:20.263849,57756,57737,29.92,32.70,5.70,1596
2025-04-03 10:01:20.268835,62754,62737,29.92,35.64,6.77,1616
2025-04-03 10:01:20.274096,67754,67737,29.92,35.64,6.77,1616
2025-04-03 10:01:20.279087,72756,72737,29.92,34.82,6.46,1719
2025-04-03 10:01:20.284113,77757,77737,29.92,34.82,6.46,1833
2025-04-03 10:01:20.289097,82754,82737,29.92,34.82,6.46,1930
2025-04-03 10:01:20.294052,376,87737,29.92,33.57,6.00,1849
2025-04-03 10:01:20.299074,5374,5356,30.02,34.82,6.46,1889
2025-04-03 10:01:20.304066,10374,10356,30.02,32.70,5.70,1892
2025-04-03 10:01:20.310006,15374,15356,30.02,33.57,6.00,2313
2025-04-03 10:01:20.314992,20373,20356,30.02,32.70,5.70,1973
2025-04-03 10:01:20.319982,25373,25356,30.02,34.82,6.46,1898
2025-04-03 10:01:20.325963,30374,30356,30.02,32.70,5.70,2737
2025-04-03 10:01:20.330950,35374,35356,30.02,35.64,6.77,3141
2025-04-03 10:01:20.335118,40374,40356,30.02,33.57,6.00,2501
2025-04-03 10:01:20.339920,45374,45356,30.02,32.70,5.70,1976
2025-04-03 10:01:20.344910,50374,50356,30.02,34.82,6.46,2053
2025-04-03 10:01:20.349082,55374,55356,30.02,33.57,6.00,1578
2025-04-03 10:01:20.354215,60373,60356,30.02,31.81,5.39,1584
2025-04-03 10:01:20.359286,65374,65356,30.02,33.57,6.00,1584
2025-04-03 10:01:20.363889,70374,70356,30.02,33.57,6.00,1585
2025-04-03 10:01:20.369928,75374,75356,30.02,31.81,5.39,2269
2025-04-03 10:01:20.374845,80374,80356,30.02,32.70,5.70,2128
2025-04-03 10:01:20.379818,85374,85356,30.02,32.70,5.70,2108
2025-04-03 10:01:20.384805,2993,90356,30.02,34.82,6.46,2110
2025-04-03 10:01:20.389407,7993,7974,30.02,34.82,6.46,1627
2025-04-03 10:01:20.394424,12993,12974,30.02,32.70,5.70,1721
2025-04-03 10:01:20.399656,17993,17974,30.02,33.57,6.00,2185
2025-04-03 10:01:20.405364,22993,22974,30.02,32.70,5.70,2113
2025-04-03 10:01:20.409350,27993,27974,30.02,33.57,6.00,2165
2025-04-03 10:01:20.414482,32993,32974,30.02,32.70,5.70,1905
2025-04-03 10:01:20.419492,37992,37974,30.02,33.57,6.00,1898
2025-04-03 10:01:20.425309,42993,42974,30.02,34.82,6.46,1827
2025-04-03 10:01:20.429475,47993,47974,30.02,33.57,6.00,2420
2025-04-03 10:01:20.434284,52993,52974,30.02,32.70,5.70,1711
2025-04-03 10:01:20.440269,57993,57974,30.02,33.57,6.00,2497
2025-04-03 10:01:20.444259,62993,62974,30.02,33.57,6.00,1683
2025-04-03 10:01:20.450242,67993,67974,30.02,32.70,5.70,2540
2025-04-03 10:01:20.454592,72993,72974,30.02,33.57,6.00,1684
2025-04-03 10:01:20.459219,77992,77974,30.02,34.82,6.46,1693
2025-04-03 10:01:20.464380,82993,82974,30.02,34.82,6.46,2253
2025-04-03 10:01:20.469485,612,87974,30.02,35.64,6.77,2007
2025-04-03 10:01:20.474350,5612,5593,30.02,32.70,5.70,1667
2025-04-03 10:01:20.480163,10612,10593,30.02,34.82,6.46,2388
2025-04-03 10:01:20.484515,15610,15593,30.02,34.82,6.46,1864
2025-04-03 10:01:20.490134,20612,20593,30.02,33.57,6.00,2353
2025-04-03 10:01:20.495154,25612,25593,30.02,34.82,6.46,2284
2025-04-03 10:01:20.500143,30610,30593,30.02,33.57,6.00,2092
2025-04-03 10:01:20.505129,35612,35593,30.02,34.82,6.46,2382
2025-04-03 10:01:20.510114,40612,40593,30.02,34.82,6.46,2499
2025-04-03 10:01:20.515067,45612,45593,30.02,34.82,6.46,2361
2025-04-03 10:01:20.520197,50612,50593,30.02,33.57,6.00,2729
2025-04-03 10:01:20.524081,55612,55593,30.02,33.57,6.00,1654
2025-04-03 10:01:20.529067,60610,60593,30.02,33.57,6.00,1718
2025-04-03 10:01:20.534057,65612,65593,30.02,32.70,5.70,1678
2025-04-03 10:01:20.539045,70612,70593,30.02,34.82,6.46,1686
2025-04-03 10:01:20.543988,75612,75593,30.02,34.82,6.46,1625
2025-04-03 10:01:20.549018,80612,80593,30.02,32.70,5.70,1757
2025-04-03 10:01:20.554007,85612,85593,30.02,32.70,5.70,1841
2025-04-03 10:01:20.559953,3230,90593,30.02,32.70,5.70,1701
2025-04-03 10:01:20.564936,8230,8212,30.02,32.70,5.70,2244
2025-04-03 10:01:20.569969,13230,13212,30.02,32.70,5.70,1638
2025-04-03 10:01:20.574909,18230,18212,30.02,31.81,5.39,1654
2025-04-03 10:01:20.579940,23229,23212,30.02,32.70,5.70,2082
2025-04-03 10:01:20.584927,28230,28212,30.02,32.70,5.70,1913
2025-04-03 10:01:20.590002,33230,33212,30.02,30.90,5.09,2111
2025-04-03 10:01:20.594899,38229,38212,30.02,32.70,5.70,1854
2025-04-03 10:01:20.599887,43230,43212,30.02,32.70,5.70,2056
2025-04-03 10:01:20.604874,48229,48212,30.02,33.57,6.00,1868
2025-04-03 10:01:20.609824,53230,53212,30.02,32.70,5.70,1677
2025-04-03 10:01:20.615104,58229,58212,30.02,32.70,5.70,1908
2025-04-03 10:01:20.619832,63230,63212,30.02,33.57,6.00,1861
2025-04-03 10:01:20.624811,68230,68212,30.02,31.81,5.39,1917
2025-04-03 10:01:20.629767,73232,73212,30.02,34.82,6.46,1851
2025-04-03 10:01:20.634789,78229,78212,30.02,32.70,5.70,1941
2025-04-03 10:01:20.640732,83229,83212,30.02,32.70,5.70,1864
2025-04-03 10:01:20.644764,849,88212,30.02,32.70,5.70,1913
2025-04-03 10:01:20.649753,5848,5830,30.02,33.57,6.00,1797
2025-04-03 10:01:20.654701,10849,10830,30.02,32.70,5.70,1632
2025-04-03 10:01:20.660260,15849,15830,30.02,31.81,5.39,2220
2025-04-03 10:01:20.664709,20849,20830,30.02,32.70,5.70,2136
2025-04-03 10:01:20.669841,25848,25830,30.02,32.70,5.70,2274
2025-04-03 10:01:20.675637,30849,30830,30.02,31.81,5.39,2724
2025-04-03 10:01:20.680673,35849,35830,30.02,32.70,5.70,3141
2025-04-03 10:01:20.684617,40850,40830,30.02,31.81,5.39,1831
2025-04-03 10:01:20.689649,45849,45830,30.02,33.57,6.00,1665
2025-04-03 10:01:20.694626,50849,50830,30.02,33.57,6.00,1882
2025-04-03 10:01:20.699847,55849,55830,30.02,34.82,6.46,1805
2025-04-03 10:01:20.704560,60849,60830,30.02,33.57,6.00,2216
2025-04-03 10:01:20.709546,65848,65830,30.02,33.57,6.00,2174
2025-04-03 10:01:20.714682,70849,70830,30.02,33.57,6.00,2037
2025-04-03 10:01:20.719525,75849,75830,30.02,33.57,6.00,1857
2025-04-03 10:01:20.724554,80849,80830,30.02,32.70,5.70,1737
2025-04-03 10:01:20.729529,85849,85830,30.02,33.57,6.00,1978
2025-04-03 10:01:20.734523,3468,90830,30.02,33.57,6.00,1867
2025-04-03 10:01:20.739513,8468,8449,30.02,31.81,5.39,1604
2025-04-03 10:01:20.744499,13466,13449,30.02,33.57,6.00,1764
2025-04-03 10:01:20.749448,18465,18449,30.02,33.57,6.00,2102
2025-04-03 10:01:20.754473,23466,23449,30.02,32.70,5.70,1904
2025-04-03 10:01:20.759459,28466,28449,30.02,33.57,6.00,1897
2025-04-03 10:01:20.764447,33466,33449,30.02,33.57,6.00,1906
2025-04-03 10:01:20.769445,38468,38449,30.02,33.57,6.00,1910
2025-04-03 10:01:20.774422,43468,43449,30.02,34.82,6.46,2110
2025-04-03 10:01:20.779406,48468,48449,30.02,33.57,6.00,2385
2025-04-03 10:01:20.784395,53466,53449,30.02,32.70,5.70,2034
2025-04-03 10:01:20.789798,58466,58449,30.02,32.70,5.70,2597
2025-04-03 10:01:20.795761,63468,63449,30.02,32.70,5.70,3141
2025-04-03 10:01:20.799877,68468,68449,30.02,32.70,5.70,2950
2025-04-03 10:01:20.803739,73468,73449,30.02,31.81,5.39,2132
2025-04-03 10:01:20.808726,78468,78449,30.02,31.81,5.39,1616
2025-04-03 10:01:20.814932,83468,83449,30.02,32.70,5.70,2620
2025-04-03 10:01:20.819695,1086,88449,30.02,32.70,5.70,2533
2025-04-03 10:01:20.824645,6086,6068,30.02,33.57,6.00,2476
2025-04-03 10:01:20.828622,11086,11068,30.02,33.57,6.00,1902
2025-04-03 10:01:20.833607,16085,16068,30.02,34.82,6.46,2078
2025-04-03 10:01:20.838719,21085,21068,30.02,33.57,6.00,2013
2025-04-03 10:01:20.844194,26085,26068,30.02,33.57,6.00,2056
2025-04-03 10:01:20.848567,31086,31068,30.02,33.57,6.00,2023
2025-04-03 10:01:20.853677,36086,36068,30.02,32.70,5.70,2136
2025-04-03 10:01:20.858542,41085,41068,30.02,34.82,6.46,1737
2025-04-03 10:01:20.864527,46086,46068,30.02,33.57,6.00,2168
2025-04-03 10:01:20.869513,51086,51068,30.02,33.57,6.00,2255
2025-04-03 10:01:20.873785,56086,56068,30.02,33.57,6.00,1840
2025-04-03 10:01:20.879622,61085,61068,30.02,33.57,6.00,2385
