SoftwareTimestamp,hardwareLoop,hardwareISR,Temperature,Flow,Pressure,TimeDuration
2025-04-03 09:28:02.859617,53,31.81,5.39,2345,,
2025-04-03 09:28:02.865142,20044,20025,29.53,32.70,5.70,2199
2025-04-03 09:28:02.870129,25042,25025,29.53,32.70,5.70,2146
2025-04-03 09:28:02.875165,30042,30025,29.53,32.70,5.70,2062
2025-04-03 09:28:02.880100,35044,35025,29.53,32.70,5.70,2121
2025-04-03 09:28:02.885152,40044,40025,29.53,33.57,6.00,2065
2025-04-03 09:28:02.890170,45044,45025,29.53,33.57,6.00,1861
2025-04-03 09:28:02.895157,50044,50025,29.53,34.82,6.46,2056
2025-04-03 09:28:02.900151,55044,55025,29.53,33.57,6.00,2004
2025-04-03 09:28:02.906099,60042,60025,29.53,33.57,6.00,2517
2025-04-03 09:28:02.911461,65044,65025,29.53,35.64,6.77,3754
2025-04-03 09:28:02.917067,70044,70025,29.53,34.82,6.46,3782
2025-04-03 09:28:02.919062,75042,75025,29.53,33.57,6.00,2078
2025-04-03 09:28:02.926260,80044,80025,29.53,35.64,6.77,3145
2025-04-03 09:28:02.930407,85042,85025,29.53,36.43,7.07,2905
2025-04-03 09:28:02.935234,2662,90025,29.53,36.43,7.07,2315
2025-04-03 09:28:02.940210,7662,7644,29.53,35.64,6.77,3040
2025-04-03 09:28:02.945504,12661,12644,29.53,35.64,6.77,2848
2025-04-03 09:28:02.950151,17662,17644,29.53,35.64,6.77,2697
2025-04-03 09:28:02.953845,22662,22644,29.53,35.64,6.77,1625
2025-04-03 09:28:02.960472,27662,27644,29.53,35.64,6.77,2649
2025-04-03 09:28:02.965461,32662,32644,29.53,35.64,6.77,2662
2025-04-03 09:28:02.970558,37661,37644,29.53,34.82,6.46,3022
2025-04-03 09:28:02.974437,42662,42644,29.53,35.64,6.77,2201
2025-04-03 09:28:02.979424,47661,47644,29.53,35.64,6.77,2354
2025-04-03 09:28:02.985407,52662,52644,29.53,35.64,6.77,2776
2025-04-03 09:28:02.990040,57661,57644,29.53,35.64,6.77,2466
2025-04-03 09:28:02.994715,62662,62644,29.53,34.82,6.46,2472
2025-04-03 09:28:03.000367,67662,67644,29.53,35.64,6.77,3001
2025-04-03 09:28:03.005151,72662,72644,29.53,34.82,6.46,3063
2025-04-03 09:28:03.011136,77662,77644,29.53,34.82,6.46,3487
2025-04-03 09:28:03.015122,82662,82644,29.53,34.82,6.46,2197
2025-04-03 09:28:03.019162,281,87644,29.53,34.82,6.46,2201
2025-04-03 09:28:03.024212,5281,5262,29.53,34.82,6.46,2256
2025-04-03 09:28:03.030081,10281,10262,29.53,33.57,6.00,2967
2025-04-03 09:28:03.034129,15281,15262,29.53,34.82,6.46,2098
2025-04-03 09:28:03.040053,20281,20262,29.53,37.21,7.38,2589
2025-04-03 09:28:03.046036,25281,25262,29.53,34.82,6.46,3145
2025-04-03 09:28:03.050041,30281,30262,29.53,35.64,6.77,2612
2025-04-03 09:28:03.056151,35281,35262,29.53,36.43,7.07,3253
2025-04-03 09:28:03.060140,40281,40262,29.53,32.70,5.70,2399
2025-04-03 09:28:03.064307,45281,45262,29.53,34.82,6.46,2178
2025-04-03 09:28:03.070620,50281,50262,29.53,34.82,6.46,3133
2025-04-03 09:28:03.075140,55281,55262,29.53,33.57,6.00,2816
2025-04-03 09:28:03.079088,60281,60262,29.53,34.82,6.46,1895
2025-04-03 09:28:03.084412,65281,65262,29.53,34.82,6.46,2232
2025-04-03 09:28:03.090059,70281,70262,29.53,33.57,6.00,2670
2025-04-03 09:28:03.095046,75281,75262,29.53,33.57,6.00,2339
2025-04-03 09:28:03.100115,80281,80262,29.53,34.82,6.46,2752
2025-04-03 09:28:03.105048,85280,85262,29.53,33.57,6.00,2820
2025-04-03 09:28:03.110100,2898,90262,29.53,33.57,6.00,2392
2025-04-03 09:28:03.114437,7900,7881,29.53,34.82,6.46,2349
2025-04-03 09:28:03.121072,12898,12881,29.53,33.57,6.00,3710
2025-04-03 09:28:03.125060,17900,17881,29.53,33.57,6.00,2942
2025-04-03 09:28:03.131044,22900,22881,29.53,34.82,6.46,3241
2025-04-03 09:28:03.136031,27898,27881,29.53,32.70,5.70,2973
2025-04-03 09:28:03.140321,32898,32881,29.53,33.57,6.00,2924
2025-04-03 09:28:03.146357,37900,37881,29.63,32.70,5.70,3254
2025-04-03 09:28:03.151294,42898,42881,29.63,34.82,6.46,3264
